     St.no       Date         RR         SA         SD SLAG     
     50540 12.01.1984        6.8          0          0   30                      
     50540 13.01.1984       23.0          2          4   30                       
     50540 14.01.1984       17.6          1          4   30                       
     50540 15.01.1984        9.5         12          4   30                       
     50540 16.01.1984       12.5         22          4    2                       
     50540 17.01.1984        8.8         24          4    2                      
     50540 18.01.1984          .         21          4    -                    
     50540 19.01.1984          .         21          4    -                    
     50540 20.01.1984        2.4         18          4    2                      
     50540 21.01.1984          .         18          4    -                    
     50540 22.01.1984          .         18          4    -                    
     50540 23.01.1984          .         18          4    -                    
     50540 24.01.1984          .         16          4    -                    
     50540 25.01.1984          .         16          4    -                    
     50540 26.01.1984          .         16          4    -                    
     50540 27.01.1984        0.0         16          4    2                      
     50540 28.01.1984          .         14          4    -                    
     50540 29.01.1984          .         10          4    -                    
     50540 30.01.1984          .         10          4    -                    
     50540 31.01.1984        0.5          8          4   30                      
     50540 01.02.1984          .          8          4    -                   
     50540 02.02.1984        0.0          8          4    3                     
     50540 03.02.1984          .          6          4    -                   
     50540 04.02.1984        0.7          7          4   30                      
     50540 05.02.1984       20.4          5          4   30                       
     50540 06.02.1984        9.3          5          4   30                      
     50540 07.02.1984       16.0          5          4   30                       
     50540 08.02.1984        5.2         18          4    2                      
     50540 09.02.1984        0.1         18          4    2                      
     50540 10.02.1984       12.7         15          4   30                        
     50540 11.02.1984       10.8         11          4    3                       
     50540 12.02.1984        0.9          8          3    3                     
     50540 13.02.1984        0.0          5          1    3                     
     50540 14.02.1984        2.0          0          1    3                     
     50540 15.02.1984          .          0          1    -                   
     50540 16.02.1984        0.0          0          0    2                     
     50540 17.02.1984        0.4          1          4    2                     
     50540 18.02.1984        2.7          5          4    2                     
     50540 19.02.1984          .          3          4    -                   
     50540 20.02.1984          .          3          4    -                   
     50540 21.02.1984          .          0          3    -                   
     50540 22.02.1984          .          0          3    -                   
     50540 23.02.1984          .          0          3    -                   
     50540 24.02.1984        0.1          0          3    2                     
     50540 25.02.1984        1.0          0          3    2                     
     50540 26.02.1984          .          0          1    -                   
     50540 27.02.1984          .          0          0    -                   
     50540 28.02.1984        1.4          0          1   30                      
     50540 29.02.1984       22.8          0          1    3                      
     50540 01.03.1984       12.0         14          4   30                        
     50540 02.03.1984        3.5         12          4    2                      
     50540 03.03.1984          .          7          4    -                   
     50540 04.03.1984        0.0          7          4    2                     
     50540 05.03.1984       10.8          5          3   30                       
     50540 06.03.1984       19.1          0          1    3                      
     50540 07.03.1984        4.7          0          1   30                      
     50540 08.03.1984        1.0          0          1   30                      
     50540 09.03.1984        0.3          0          0   30                      
     50540 10.03.1984          .          0          0    -                   
     50540 11.03.1984        0.5          0          0   30                      
     50540 12.03.1984          .          0          0    -                   
     50540 13.03.1984          .          0          0    -                   
     50540 14.03.1984          .          0          0    -                   
     50540 15.03.1984          .          0          0    -                   
     50540 16.03.1984          .          0          0    -                   
     50540 17.03.1984          .          0          0    -                   
     50540 18.03.1984          .          0          0    -                   
     50540 19.03.1984        0.0          0          0    2                     
     50540 20.03.1984        0.1          0          1   30                      
     50540 21.03.1984          .          0          0    -                   
     50540 22.03.1984          .          0          0    -                   
     50540 23.03.1984          .          0          0    -                   
     50540 24.03.1984          .          0          0    -                   
     50540 25.03.1984          .          0          0    -                   
     50540 26.03.1984        0.0          0          0    2                     
     50540 27.03.1984          .          0          0    -                   
     50540 28.03.1984          .          0          0    -                   
     50540 29.03.1984          .          0          0    -                   
     50540 30.03.1984          .          0          0    -                   
     50540 31.03.1984        0.0          0          0    2                     
     50540 01.04.1984          .          0          0    -                   
     50540 02.04.1984          .          0          0    -                   
