     St.no       Date         RR         SA         SD SLAG     
     50540 30.11.2011       49.1          0          0    -                      
     50540 01.12.2011       15.9          0          0    -                      
     50540 02.12.2011       18.7          0          4    -                      
     50540 03.12.2011       18.8          0          0    -                      
     50540 04.12.2011       14.0          0          0    -                      
     50540 05.12.2011        1.2          0          4    -                     
     50540 06.12.2011       15.2          8          4    -                      
     50540 07.12.2011        7.2          9          4    -                     
     50540 08.12.2011        1.1         12          4    -                      
     50540 09.12.2011       15.2          5          4    -                      
     50540 10.12.2011       15.0          3          3    -                      
     50540 11.12.2011        1.0          3          3    -                     
     50540 12.12.2011       16.0          0          0    -                      
     50540 13.12.2011       12.4          0          0    -                      
     50540 14.12.2011       19.7          0          0    -                      
     50540 15.12.2011       29.7          0          0    -                      
     50540 16.12.2011       11.7          0          0    -                      
     50540 17.12.2011        4.5          1          4    -                     
     50540 18.12.2011        0.8          1          4    -                     
     50540 19.12.2011        9.8          0          3    -                     
     50540 20.12.2011        2.1          0          3    -                     
     50540 21.12.2011        2.7          2          4    -                     
     50540 22.12.2011        1.8          0          3    -                     
     50540 23.12.2011       21.4          0          0    -                      
     50540 24.12.2011       10.1          0          0    -                      
     50540 25.12.2011       15.6          0          0    -                      
     50540 26.12.2011       24.6          0          0    -                      
     50540 27.12.2011        6.8          0          0    -                     
     50540 28.12.2011        2.2          0          0    -                     
     50540 29.12.2011       22.1          0          0    -                      
     50540 30.12.2011       15.1          0          0    -                      
     50540 31.12.2011        0.0          0          0    -                     
     50540 01.01.2012        9.2          0          0    -                     
     50540 02.01.2012       36.0          0          0    -                      
     50540 03.01.2012       25.1          0          0    -                      
     50540 04.01.2012       11.4          0          0    -                      
     50540 05.01.2012        2.9          0          0    -                     
     50540 06.01.2012        0.0          0          0    -                     
     50540 07.01.2012       12.8          0          0    -                      
     50540 08.01.2012        9.3          7          4    -                     
     50540 09.01.2012        3.4          0          0    -                     
     50540 10.01.2012       20.6          0          0    -                      
     50540 11.01.2012       31.0          0          0    -                      
     50540 12.01.2012       27.5          0          0    -                      
     50540 13.01.2012       13.8          0          4    -                      
     50540 14.01.2012        2.7          0          3    -                     
     50540 15.01.2012        0.3          0          1    -                     
     50540 16.01.2012        0.8          0          0    -                     
     50540 17.01.2012        0.1          0          0    -                     
     50540 18.01.2012        0.0          0          0    -                     
     50540 19.01.2012       23.0          0          3    -                      
     50540 20.01.2012        8.1          0          3    -                     
     50540 21.01.2012        8.7          0          0    -                     
     50540 22.01.2012        6.9          0          0    -                     
     50540 23.01.2012        0.8          0          3    -                     
     50540 24.01.2012        0.1          0          3    -                     
     50540 25.01.2012        0.0          0          1    -                     
     50540 26.01.2012        0.8          0          1    -                     
     50540 27.01.2012        0.0          0          1    -                     
     50540 28.01.2012        0.0          0          1    -                     
     50540 29.01.2012        0.0          0          0    -                     
     50540 30.01.2012        0.0          0          0    -                     
     50540 31.01.2012        0.0          0          0    -                     
     50540 01.02.2012        0.1          0          0    -                     
     50540 02.02.2012        0.3          0          0    -                     
     50540 03.02.2012        3.8          9          4    -                     
     50540 04.02.2012        0.8          8          4    -                     
     50540 05.02.2012        0.0          6          4    -                     
     50540 06.02.2012       14.8         10          4    -                       
     50540 07.02.2012        9.4          7          4    -                     
     50540 08.02.2012        0.3          6          4    -                     
     50540 09.02.2012        0.0          5          4    -                     
     50540 10.02.2012        0.0          4          4    -                     
     50540 11.02.2012        0.1          4          4    -                     
     50540 12.02.2012        5.2          5          4    -                     
     50540 13.02.2012        2.2          5          4    -                     
     50540 14.02.2012        5.3          4          4    -                     
     50540 15.02.2012       11.3          0          3    -                      
     50540 16.02.2012        7.6          0          3    -                     
     50540 17.02.2012       12.3          0          0    -                      
     50540 18.02.2012       22.7          0          0    -                      
     50540 19.02.2012       19.6          0          1    -                      
     50540 20.02.2012        2.9          2          4    -                     
     50540 21.02.2012       31.3          0          0    -                      
     50540 22.02.2012       18.9          0          0    -                      
     50540 23.02.2012       15.2          0          0    -                      
     50540 24.02.2012       17.5          0          0    -                      
     50540 25.02.2012        8.3          0          0    -                     
     50540 26.02.2012        1.9          0          0    -                     
     50540 27.02.2012        5.5          0          0    -                     
     50540 28.02.2012       50.5          0          0    -                      
     50540 29.02.2012       18.4          0          0    -                      
     50540 01.03.2012        3.6          0          0    -                     
     50540 02.03.2012        5.6          0          0    -                     
     50540 03.03.2012        0.0          0          0    -                     
     50540 04.03.2012        0.3          0          0    -                     
     50540 05.03.2012        0.0          0          0    -                     
     50540 06.03.2012        0.0          0          0    -                     
     50540 07.03.2012        0.8          0          0    -                     
     50540 08.03.2012       22.0          0          0    -                      
     50540 09.03.2012       36.4          0          0    -                      
     50540 10.03.2012       16.3          0          0    -                      
     50540 11.03.2012        5.9          0          0    -                     
     50540 12.03.2012        6.7          0          0    -                     
     50540 13.03.2012        8.5          0          0    -                     
     50540 14.03.2012        4.0          0          0    -                     
     50540 15.03.2012        2.1          0          0    -                     
     50540 16.03.2012        3.6          0          0    -                     
     50540 17.03.2012       27.1          0          0    -                      
     50540 18.03.2012       17.5          0          0    -                      
     50540 19.03.2012        5.6          0          4    -                     
     50540 20.03.2012       31.5          0          0    -                      
     50540 21.03.2012       11.7          0          0    -                      
     50540 22.03.2012       16.0          0          0    -                      
     50540 23.03.2012        0.5          0          0    -                     
     50540 24.03.2012        0.0          0          0    -                     
     50540 25.03.2012        0.0          0          0    -                     
     50540 26.03.2012        0.0          0          0    -                     
     50540 27.03.2012        0.2          0          0    -                     
     50540 28.03.2012        2.0          0          0    -                     
     50540 29.03.2012        7.3          0          0    -                     
     50540 30.03.2012        2.4          0          0    -                     
     50540 31.03.2012        4.8          0          3    -                     
     50540 01.04.2012        5.5          0          0    -                     
     50540 02.04.2012        5.9          0          4    -                     
     50540 03.04.2012        0.7          0          0    -                     
     50540 04.04.2012        0.0          0          0    -                     
     50540 05.04.2012        3.7          0          0    -                     
     50540 06.04.2012       17.9          0          0    -                      
     50540 07.04.2012        0.1          0          0    -                     
     50540 08.04.2012        0.0          0          0    -                     
     50540 09.04.2012        3.7          0          0    -                     
     50540 10.04.2012        9.8          0          0    -                     
     50540 11.04.2012       19.4          0          0    -                      
     50540 12.04.2012        2.7          0          0    -                     
     50540 13.04.2012        2.4          0          0    -                     
     50540 14.04.2012        6.0          0          0    -                     
     50540 15.04.2012        0.5          0          0    -                     
     50540 16.04.2012        0.0          0          0    -                     
     50540 17.04.2012        0.1          0          0    -                     
     50540 18.04.2012        0.0          0          0    -                     
     50540 19.04.2012        0.5          0          0    -                     
     50540 20.04.2012        0.0          0          0    -                     
     50540 21.04.2012        2.8          0          0    -                     
     50540 22.04.2012        0.5          0          0    -                     
     50540 23.04.2012        0.0          0          0    -                     
     50540 24.04.2012        2.7          0          0    -                     
     50540 25.04.2012        0.9          0          0    -                     
     50540 26.04.2012        0.3          0          0    -                     
     50540 27.04.2012       12.3          0          0    -                      
     50540 28.04.2012        3.3          0          0    -                     
     50540 29.04.2012        0.0          0          0    -                     
     50540 30.04.2012        0.0          0          0    -                     
     50540 01.05.2012        0.0          0          0    -                     
     50540 02.05.2012        0.3          0          0    -                     
     50540 03.05.2012        0.0          0          0    -                     
     50540 04.05.2012        1.7          0          0    -                     
     50540 05.05.2012        0.3          0          0    -                     
     50540 06.05.2012        3.3          1          4    -                     
     50540 07.05.2012       10.6          0          0    -                      
     50540 08.05.2012        4.9          0          0    -                     
     50540 09.05.2012        4.2          0          0    -                     
     50540 10.05.2012        5.9          0          0    -                     
     50540 11.05.2012        2.8          0          0    -                     
     50540 12.05.2012        3.4          0          0    -                     
     50540 13.05.2012        6.0          0          0    -                     
     50540 14.05.2012       48.3          0          0    -                      
     50540 15.05.2012        7.8          0          0    -                     
     50540 16.05.2012        0.0          0          0    -                     
     50540 17.05.2012       14.1          0          0    -                      
     50540 18.05.2012        3.8          0          0    -                     
     50540 19.05.2012        0.1          0          0    -                     
     50540 20.05.2012        0.0          0          0    -                     
     50540 21.05.2012        0.0          0          0    -                     
     50540 22.05.2012        0.0          0          0    -                     
     50540 23.05.2012        0.0          0          0    -                     
     50540 24.05.2012        0.0          0          0    -                     
     50540 25.05.2012        0.0          0          0    -                     
     50540 26.05.2012        0.0          0          0    -                     
     50540 27.05.2012        0.0          0          0    -                     
     50540 28.05.2012        0.0          0          0    -                     
     50540 29.05.2012        0.0          0          0    -                     
     50540 30.05.2012        0.0          0          0    -                     
     50540 31.05.2012        0.0          0          0    -                     
     50540 01.06.2012        0.0          0          0    -                     
     50540 02.06.2012        0.0          0          0    -                     
     50540 03.06.2012        0.0          0          0    -                     
     50540 04.06.2012        0.0          0          0    -                     
     50540 05.06.2012        8.4          0          0    -                     
     50540 06.06.2012        1.2          0          0    -                     
     50540 07.06.2012        0.0          0          0    -                     
     50540 08.06.2012        0.0          0          0    -                     
     50540 09.06.2012        0.0          0          0    -                     
     50540 10.06.2012        0.1          0          0    -                     
     50540 11.06.2012        0.0          0          0    -                     
     50540 12.06.2012        0.0          0          0    -                     
     50540 13.06.2012        0.0          0          0    -                     
     50540 14.06.2012        0.0          0          0    -                     
     50540 15.06.2012        0.0          0          0    -                     
     50540 16.06.2012        0.8          0          0    -                     
     50540 17.06.2012       15.7          0          0    -                      
     50540 18.06.2012        1.9          0          0    -                     
     50540 19.06.2012        0.2          0          0    -                     
     50540 20.06.2012        1.7          0          0    -                     
     50540 21.06.2012        0.0          0          0    -                     
     50540 22.06.2012        0.0          0          0    -                     
     50540 23.06.2012        0.0          0          0    -                     
     50540 24.06.2012       10.2          0          0    -                      
     50540 25.06.2012        7.2          0          0    -                     
     50540 26.06.2012        0.0          0          0    -                     
     50540 27.06.2012        0.0          0          0    -                     
     50540 28.06.2012        0.0          0          0    -                     
     50540 29.06.2012        1.0          0          0    -                     
     50540 30.06.2012        6.4          0          0    -                     
     50540 01.07.2012        5.1          0          0    -                     
     50540 02.07.2012       34.4          0          0    -                      
     50540 03.07.2012        0.2          0          0    -                     
     50540 04.07.2012        3.4          0          0    -                     
     50540 05.07.2012        5.1          0          0    -                     
     50540 06.07.2012        0.2          0          0    -                     
     50540 07.07.2012        0.0          0          0    -                     
     50540 08.07.2012        3.9          0          0    -                     
     50540 09.07.2012        0.0          0          0    -                     
     50540 10.07.2012        0.0          0          0    -                     
     50540 11.07.2012        0.0          0          0    -                     
     50540 12.07.2012        2.8          0          0    -                     
     50540 13.07.2012        2.0          0          0    -                     
     50540 14.07.2012        0.4          0          0    -                     
     50540 15.07.2012        2.9          0          0    -                     
     50540 16.07.2012        8.2          0          0    -                     
     50540 17.07.2012        5.6          0          0    -                     
     50540 18.07.2012        8.0          0          0    -                     
     50540 19.07.2012        0.3          0          0    -                     
     50540 20.07.2012        0.0          0          0    -                     
     50540 21.07.2012        0.6          0          0    -                     
     50540 22.07.2012        9.5          0          0    -                     
     50540 23.07.2012       65.0          0          0    -                      
     50540 24.07.2012        4.5          0          0    -                     
     50540 25.07.2012        0.9          0          0    -                     
     50540 26.07.2012        0.0          0          0    -                     
     50540 27.07.2012        0.2          0          0    -                     
     50540 28.07.2012       16.2          0          0    -                      
     50540 29.07.2012        0.1          0          0    -                     
     50540 30.07.2012        1.7          0          0    -                     
     50540 31.07.2012        1.5          0          0    -                     
     50540 01.08.2012        0.0          0          0    -                     
     50540 02.08.2012        6.9          0          0    -                     
     50540 03.08.2012        4.3          0          0    -                     
     50540 04.08.2012        2.1          0          0    -                     
     50540 05.08.2012        3.6          0          0    -                     
     50540 06.08.2012        0.0          0          0    -                     
     50540 07.08.2012        1.1          0          0    -                     
     50540 08.08.2012        0.0          0          0    -                     
     50540 09.08.2012        2.2          0          0    -                     
     50540 10.08.2012        0.4          0          0    -                     
     50540 11.08.2012        0.1          0          0    -                     
     50540 12.08.2012        0.0          0          0    -                     
     50540 13.08.2012        0.1          0          0    -                     
     50540 14.08.2012        0.0          0          0    -                     
     50540 15.08.2012        0.1          0          0    -                     
     50540 16.08.2012        0.0          0          0    -                     
     50540 17.08.2012        2.3          0          0    -                     
     50540 18.08.2012        6.9          0          0    -                     
     50540 19.08.2012       28.0          0          0    -                      
     50540 20.08.2012        0.1          0          0    -                     
     50540 21.08.2012        0.5          0          0    -                     
     50540 22.08.2012       20.3          0          0    -                      
     50540 23.08.2012       43.5          0          0    -                      
     50540 24.08.2012        1.9          0          0    -                     
     50540 25.08.2012        8.9          0          0    -                     
     50540 26.08.2012       24.8          0          0    -                      
     50540 27.08.2012        0.0          0          0    -                     
     50540 28.08.2012        2.9          0          0    -                     
     50540 29.08.2012       18.3          0          0    -                      
     50540 30.08.2012       14.6          0          0    -                      
     50540 31.08.2012        8.8          0          0    -                     
     50540 01.09.2012        0.3          0          0    -                     
     50540 02.09.2012       31.9          0          0    -                      
     50540 03.09.2012       11.8          0          0    -                      
     50540 04.09.2012       18.0          0          0    -                      
     50540 05.09.2012       12.1          0          0    -                      
     50540 06.09.2012        4.5          0          0    -                     
     50540 07.09.2012       15.0          0          0    -                      
     50540 08.09.2012        3.8          0          0    -                     
     50540 09.09.2012        0.7          0          0    -                     
     50540 10.09.2012        0.2          0          0    -                     
     50540 11.09.2012       33.5          0          0    -                      
     50540 12.09.2012       20.3          0          0    -                      
     50540 13.09.2012        7.3          0          0    -                     
     50540 14.09.2012       53.4          0          0    -                      
     50540 15.09.2012       16.1          0          0    -                      
     50540 16.09.2012        6.8          0          0    -                     
     50540 17.09.2012       34.8          0          0    -                      
     50540 18.09.2012       55.6          0          0    -                      
     50540 19.09.2012        9.0          0          0    -                     
     50540 20.09.2012       15.9          0          0    -                      
     50540 21.09.2012       13.3          0          0    -                      
     50540 22.09.2012        0.0          0          0    -                     
     50540 23.09.2012        0.0          0          0    -                     
     50540 24.09.2012        0.2          0          0    -                     
     50540 25.09.2012        0.0          0          0    -                     
     50540 26.09.2012        0.6          0          0    -                     
     50540 27.09.2012        4.6          0          0    -                     
     50540 28.09.2012        5.2          0          0    -                     
     50540 29.09.2012       28.7          0          0    -                      
     50540 30.09.2012        4.9          0          0    -                     
     50540 01.10.2012        8.5          0          0    -                     
     50540 02.10.2012       16.8          0          0    -                      
     50540 03.10.2012       26.5          0          0    -                      
     50540 04.10.2012       29.2          0          0    -                      
     50540 05.10.2012       24.3          0          0    -                      
     50540 06.10.2012        7.5          0          0    -                     
     50540 07.10.2012       14.2          0          0    -                      
     50540 08.10.2012       12.6          0          0    -                      
     50540 09.10.2012       14.0          0          0    -                      
     50540 10.10.2012        2.7          0          0    -                     
     50540 11.10.2012        7.0          0          0    -                     
     50540 12.10.2012        0.0          0          0    -                     
     50540 13.10.2012        0.1          0          0    -                     
     50540 14.10.2012        0.0          0          0    -                     
     50540 15.10.2012        0.0          0          0    -                     
     50540 16.10.2012        0.1          0          0    -                     
     50540 17.10.2012        0.5          0          0    -                     
     50540 18.10.2012        1.8          0          0    -                     
     50540 19.10.2012       12.6          0          0    -                      
     50540 20.10.2012        2.5          0          0    -                     
     50540 21.10.2012        7.6          0          0    -                     
     50540 22.10.2012        2.1          0          0    -                     
     50540 23.10.2012        0.0          0          0    -                     
     50540 24.10.2012        3.5          0          0    -                     
     50540 25.10.2012        4.0          0          0    -                     
     50540 26.10.2012        9.1          1          4    -                     
     50540 27.10.2012        2.5          1          4    -                     
     50540 28.10.2012        0.5          0          1    -                     
     50540 29.10.2012       10.5          0          0    -                      
     50540 30.10.2012        0.2          0          0    -                     
     50540 31.10.2012        3.7          0          0    -                     
     50540 01.11.2012       34.9          0          0    -                      
     50540 02.11.2012        0.7          0          0    -                     
     50540 03.11.2012        3.3          0          0    -                     
     50540 04.11.2012        0.0          0          0    -                     
     50540 05.11.2012        0.2          0          0    -                     
     50540 06.11.2012        3.0          0          0    -                     
     50540 07.11.2012       13.7          0          0    -                      
     50540 08.11.2012       23.2          0          0    -                      
     50540 09.11.2012        1.1          0          0    -                     
     50540 10.11.2012       53.7          0          0    -                      
     50540 11.11.2012       11.6          0          0    -                      
     50540 12.11.2012       10.1          0          0    -                      
     50540 13.11.2012        3.6          0          0    -                     
     50540 14.11.2012       39.8          0          0    -                      
     50540 15.11.2012        8.1          0          0    -                     
     50540 16.11.2012        6.6          0          0    -                     
     50540 17.11.2012       17.3          0          0    -                      
     50540 18.11.2012       37.4          0          0    -                      
     50540 19.11.2012        4.9          0          0    -                     
     50540 20.11.2012       35.7          0          0    -                      
     50540 21.11.2012       15.8          0          0    -                      
     50540 22.11.2012       10.8          0          0    -                      
     50540 23.11.2012       19.2          0          0    -                      
     50540 24.11.2012       35.9          0          0    -                      
     50540 25.11.2012        2.5          0          0    -                     
     50540 26.11.2012        0.0          0          0    -                     
     50540 27.11.2012        0.0          0          0    -                     
     50540 28.11.2012        0.0          0          0    -                     
     50540 29.11.2012        0.0          0          0    -                     
     50540 30.11.2012        0.0          0          0    -                     
     50540 01.12.2012       11.8          8          4    -                      
     50540 02.12.2012        1.7         11          4    -                      
     50540 03.12.2012        0.1          9          4    -                     
     50540 04.12.2012        0.0          7          4    -                     
     50540 05.12.2012        0.0          6          4    -                     
     50540 06.12.2012        0.0          6          4    -                     
     50540 07.12.2012        0.0          6          4    -                     
     50540 08.12.2012        0.0          6          4    -                     
     50540 09.12.2012       12.3          8          4    -                      
     50540 10.12.2012        0.0          7          4    -                     
     50540 11.12.2012        0.0          7          4    -                     
     50540 12.12.2012        3.0         15          4    -                      
     50540 13.12.2012        2.9         14          4    -                      
     50540 14.12.2012        0.8         11          4    -                      
     50540 15.12.2012        0.1         10          4    -                      
     50540 16.12.2012        0.5          9          4    -                     
     50540 17.12.2012        2.3          5          1    -                     
     50540 18.12.2012        0.8          0          0    -                     
     50540 19.12.2012        0.0          0          0    -                     
     50540 20.12.2012        0.0          0          0    -                     
     50540 21.12.2012        0.0          0          0    -                     
     50540 22.12.2012        0.0          0          0    -                     
     50540 23.12.2012        0.0          0          0    -                     
     50540 24.12.2012        0.0          0          0    -                     
     50540 25.12.2012        2.1          0          0    -                     
     50540 26.12.2012       21.0          0          0    -                      
     50540 27.12.2012        6.0          0          4    -                     
     50540 28.12.2012        2.0          0          0    -                     
     50540 29.12.2012       18.3          0          0    -                      
     50540 30.12.2012       58.4          0          0    -                      
     50540 31.12.2012       17.5          0          0    -                      
     50540 01.01.2013       23.9          0          0    -                      
     50540 02.01.2013        7.4          0          0    -                     
     50540 03.01.2013       20.8          0          0    -                      
     50540 04.01.2013       14.1          0          0    -                      
     50540 05.01.2013        5.1          0          0    -                     
     50540 06.01.2013        3.6          0          0    -                     
     50540 07.01.2013        0.7          0          0    -                     
     50540 08.01.2013        6.4          0          0    -                     
     50540 09.01.2013        6.0          0          0    -                     
     50540 10.01.2013        0.5          0          0    -                     
     50540 11.01.2013        0.0          0          0    -                     
     50540 12.01.2013        0.0          0          0    -                     
     50540 13.01.2013        0.0          0          0    -                     
     50540 14.01.2013        0.0          0          0    -                     
     50540 15.01.2013        0.0          0          0    -                     
     50540 16.01.2013        0.0          0          0    -                     
     50540 17.01.2013        0.3          0          4    -                     
     50540 18.01.2013        0.0          0          4    -                     
     50540 19.01.2013        0.0          0          4    -                     
     50540 20.01.2013        0.0          0          4    -                     
     50540 21.01.2013        0.0          0          4    -                     
     50540 22.01.2013        0.0          0          4    -                     
     50540 23.01.2013        0.0          0          4    -                     
     50540 24.01.2013        0.0          0          4    -                     
     50540 25.01.2013        0.1          0          4    -                     
     50540 26.01.2013        2.6          5          4    -                     
     50540 27.01.2013        0.1          2          4    -                     
     50540 28.01.2013        9.4          0          0    -                     
     50540 29.01.2013        6.2          0          0    -                     
     50540 30.01.2013       13.6          0          0    -                      
     50540 31.01.2013       29.6          0          0    -                      
     50540 01.02.2013        0.0          0          0    -                     
     50540 02.02.2013        2.0          2          4    -                     
     50540 03.02.2013        0.1          0          1    -                     
     50540 04.02.2013       13.1          0          0    -                      
     50540 05.02.2013       21.4          0          0    -                      
     50540 06.02.2013        0.0          0          0    -                     
     50540 07.02.2013        0.3          0          4    -                     
     50540 08.02.2013        0.0          0          4    -                     
     50540 09.02.2013        0.0          0          4    -                     
     50540 10.02.2013        0.0          0          3    -                     
     50540 11.02.2013        0.0          0          3    -                     
     50540 12.02.2013        0.0          0          1    -                     
     50540 13.02.2013        0.0          0          1    -                     
     50540 14.02.2013        0.0          0          1    -                     
     50540 15.02.2013        0.0          0          0    -                     
     50540 16.02.2013        0.1          0          0    -                     
     50540 17.02.2013       13.0          1          4    -                      
     50540 18.02.2013       10.8          0          0    -                      
     50540 19.02.2013        3.6          0          0    -                     
     50540 20.02.2013        1.0          0          0    -                     
     50540 21.02.2013        0.0          0          0    -                     
     50540 22.02.2013        0.0          0          0    -                     
     50540 23.02.2013        0.0          0          0    -                     
     50540 24.02.2013        0.1          0          0    -                     
     50540 25.02.2013        0.0          0          0    -                     
     50540 26.02.2013        0.0          0          0    -                     
     50540 27.02.2013        0.0          0          0    -                     
     50540 28.02.2013       13.8          0          0    -                      
     50540 01.03.2013        2.0          0          0    -                     
     50540 02.03.2013        9.1          0          4    -                     
     50540 03.03.2013        1.4          0          0    -                     
     50540 04.03.2013        1.2          0          0    -                     
     50540 05.03.2013        2.3          0          0    -                     
     50540 06.03.2013        0.0          0          0    -                     
     50540 07.03.2013        0.0          0          0    -                     
     50540 08.03.2013        0.0          0          0    -                     
     50540 09.03.2013        0.0          0          0    -                     
     50540 10.03.2013        0.1          0          0    -                     
     50540 11.03.2013        0.0          0          0    -                     
     50540 12.03.2013        0.2          0          4    -                     
     50540 13.03.2013        0.8          0          0    -                     
     50540 14.03.2013        0.0          0          0    -                     
     50540 15.03.2013        0.0          0          0    -                     
     50540 16.03.2013        0.2          0          0    -                     
     50540 17.03.2013        0.6          0          0    -                     
     50540 18.03.2013        0.0          0          0    -                     
     50540 19.03.2013        0.0          0          0    -                     
     50540 20.03.2013        0.0          0          0    -                     
     50540 21.03.2013        0.0          0          0    -                     
     50540 22.03.2013        0.0          0          0    -                     
     50540 23.03.2013        0.0          0          0    -                     
     50540 24.03.2013        0.0          0          0    -                     
     50540 25.03.2013        0.0          0          0    -                     
     50540 26.03.2013        0.0          0          0    -                     
     50540 27.03.2013        0.0          0          0    -                     
     50540 28.03.2013        0.0          0          0    -                     
     50540 29.03.2013        0.0          0          0    -                     
     50540 30.03.2013        0.0          0          0    -                     
     50540 31.03.2013        0.0          0          0    -                     
     50540 01.04.2013        2.1          1          4    -                     
     50540 02.04.2013        0.0          0          0    -                     
     50540 03.04.2013        0.0          0          0    -                     
     50540 04.04.2013        0.0          0          0    -                     
     50540 05.04.2013        0.0          0          0    -                     
     50540 06.04.2013        2.4          1          4    -                     
     50540 07.04.2013        1.7          0          1    -                     
     50540 08.04.2013        3.8          0          1    -                     
     50540 09.04.2013        0.0          0          0    -                     
     50540 10.04.2013        0.0          0          0    -                     
     50540 11.04.2013        0.0          0          0    -                     
     50540 12.04.2013        0.0          0          0    -                     
     50540 13.04.2013        0.0          0          0    -                     
     50540 14.04.2013        0.0          0          0    -                     
     50540 15.04.2013       25.7          0          0    -                      
     50540 16.04.2013        0.9          0          0    -                     
     50540 17.04.2013       20.5          0          0    -                      
     50540 18.04.2013       26.7          0          0    -                      
     50540 19.04.2013       30.6          0          0    -                      
     50540 20.04.2013        0.2          0          0    -                     
     50540 21.04.2013        0.0          0          0    -                     
     50540 22.04.2013        1.1          0          0    -                     
     50540 23.04.2013       10.6          0          0    -                      
     50540 24.04.2013        4.5          0          0    -                     
     50540 25.04.2013       12.9          0          0    -                      
     50540 26.04.2013       26.6          0          0    -                      
     50540 27.04.2013        4.1          0          0    -                     
     50540 28.04.2013        0.6          0          0    -                     
     50540 29.04.2013       29.8          0          0    -                      
     50540 30.04.2013       14.7          0          0    -                      
     50540 01.05.2013        1.6          0          0    -                     
     50540 02.05.2013       21.6          0          1    -                      
     50540 03.05.2013        6.4          0          4    -                     
     50540 04.05.2013       13.4          0          0    -                      
     50540 05.05.2013       17.1          0          0    -                      
     50540 06.05.2013        0.3          0          0    -                     
     50540 07.05.2013        1.3          0          0    -                     
     50540 08.05.2013        1.3          0          0    -                     
     50540 09.05.2013        3.1          0          0    -                     
     50540 10.05.2013       14.9          0          0    -                      
     50540 11.05.2013        3.8          0          0    -                     
     50540 12.05.2013       12.0          0          0    -                      
     50540 13.05.2013        3.3          0          0    -                     
     50540 14.05.2013        9.2          0          0    -                     
     50540 15.05.2013        0.0          0          0    -                     
     50540 16.05.2013        8.4          0          0    -                     
     50540 17.05.2013        3.4          0          0    -                     
     50540 18.05.2013        2.2          0          0    -                     
     50540 19.05.2013        0.1          0          0    -                     
     50540 20.05.2013        0.0          0          0    -                     
     50540 21.05.2013        0.5          0          0    -                     
     50540 22.05.2013        5.7          0          0    -                     
     50540 23.05.2013        0.0          0          0    -                     
     50540 24.05.2013        0.0          0          0    -                     
     50540 25.05.2013        0.0          0          0    -                     
     50540 26.05.2013        0.0          0          0    -                     
     50540 27.05.2013        0.0          0          0    -                     
     50540 28.05.2013        0.0          0          0    -                     
     50540 29.05.2013        0.0          0          0    -                     
     50540 30.05.2013        0.0          0          0    -                     
     50540 31.05.2013        0.1          0          0    -                     
     50540 01.06.2013        0.0          0          0    -                     
     50540 02.06.2013        8.2          0          0    -                     
     50540 03.06.2013        5.6          0          0    -                     
     50540 04.06.2013        0.0          0          0    -                     
     50540 05.06.2013        0.0          0          0    -                     
