Flyplass,ICAO,IATA,airline,flight_id,dom_int,schedule_time,arr_dep,airport,via_airport,gate,code,time,uniqueID,delayed,check_in,delayed_minutes
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF421,D,2020-01-13T15:10:00Z,D,TRF,NA,B15,D,2020-01-13T15:16:00Z,9047063,1,NA,6
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1190,S,2020-01-13T15:25:00Z,D,AMS,NA,E28,D,2020-01-13T15:26:00Z,9046214,1,NA,1
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY170,D,2020-01-13T15:35:00Z,D,TRD,NA,B18,D,2020-01-13T15:33:00Z,9045891,1,NA,-2
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4175,D,2020-01-13T15:50:00Z,D,SVG,NA,B20,D,2020-01-13T15:42:00Z,9046608,1,NA,-8
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF398,I,2020-01-13T15:55:00Z,D,ABZ,NA,F23,D,2020-01-13T16:00:00Z,9047045,1,NA,5
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF9168,D,2020-01-13T16:00:00Z,D,SVG,NA,D32,D,2020-01-13T16:50:00Z,9079645,1,NA,50
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF576,D,2020-01-13T16:00:00Z,D,KSU,NA,B16,D,2020-01-13T15:52:00Z,9047155,1,NA,-8
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY138,D,2020-01-13T16:10:00Z,D,SVG,NA,B19,D,2020-01-13T15:58:00Z,9045869,1,NA,-12
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK284,D,2020-01-13T16:20:00Z,D,OSL,NA,B17,D,2020-01-13T16:25:00Z,9046416,1,NA,5
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY641,D,2020-01-13T16:25:00Z,D,OSL,NA,B18,D,2020-01-13T16:45:00Z,9046109,1,NA,20
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK2869,S,2020-01-13T16:50:00Z,D,CPH,NA,E27,D,2020-01-13T16:54:00Z,9046424,1,NA,4
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK286,D,2020-01-13T17:05:00Z,D,OSL,NA,B16,D,2020-01-13T17:04:00Z,9046418,1,NA,-1
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1318,I,2020-01-13T17:10:00Z,D,LGW,NA,F24,D,2020-01-13T17:12:00Z,9045857,1,NA,2
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY645,D,2020-01-13T17:40:00Z,D,OSL,NA,B18,D,2020-01-13T17:30:00Z,9046111,1,NA,-10
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF458,D,2020-01-13T17:45:00Z,D,AES,NA,D32,D,2020-01-13T17:42:00Z,9047083,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF547,D,2020-01-13T17:45:00Z,D,SVG,NA,B19,D,2020-01-13T17:42:00Z,9047131,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF178,D,2020-01-13T17:45:00Z,D,OSL,HOV,B14,D,2020-01-13T18:19:00Z,9046983,1,NA,34
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF618,D,2020-01-13T17:50:00Z,D,TOS,BOO,B17,D,2020-01-13T17:52:00Z,9047191,1,NA,2
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF427,D,2020-01-13T17:55:00Z,D,TRF,NA,B20,D,2020-01-13T17:47:00Z,9047067,1,NA,-8
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF110,D,2020-01-13T17:55:00Z,D,FRO,NA,B13,D,2020-01-13T17:51:00Z,9046901,1,NA,-4
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF198,D,2020-01-13T17:55:00Z,D,OSL,FDE,B16,D,2020-01-13T17:56:00Z,9047007,1,NA,1
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF156,D,2020-01-13T18:10:00Z,D,OSL,SOG,C35,D,2020-01-13T18:06:00Z,9046957,1,NA,-4
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF518,D,2020-01-13T18:55:00Z,D,MOL,NA,B18,D,2020-01-13T18:45:00Z,9047121,1,NA,-10
Oslo lufthavn,ENGM,OSL,DY,DY1872,S,2020-01-12T07:30:00Z,D,FCO,NA,D3,D,2020-01-12T07:33:00Z,9043954,1,3,3
Oslo lufthavn,ENGM,OSL,DY,DY1816,S,2020-01-12T08:50:00Z,D,LPA,NA,D9,D,2020-01-12T08:51:00Z,9043948,1,3,1
Oslo lufthavn,ENGM,OSL,DY,DY938,S,2020-01-12T10:10:00Z,D,CPH,NA,D2,D,2020-01-12T10:14:00Z,9044243,1,3,4
Oslo lufthavn,ENGM,OSL,DY,DY1104,S,2020-01-12T10:10:00Z,D,SXF,NA,D6,D,2020-01-12T10:01:00Z,9043894,1,3,-9
Oslo lufthavn,ENGM,OSL,WF,WF149,D,2020-01-12T10:40:00Z,D,OSL,SOG,NA,D,2020-01-12T10:35:00Z,9077581,1,NA,-5
Oslo lufthavn,ENGM,OSL,DY,DY940,S,2020-01-12T11:45:00Z,D,CPH,NA,E9,D,2020-01-12T11:46:00Z,9044245,1,3,1
Oslo lufthavn,ENGM,OSL,WF,WF332,S,2020-01-12T13:15:00Z,D,GOT,NA,E7,D,2020-01-12T13:17:00Z,9044812,1,6 8,2
Oslo lufthavn,ENGM,OSL,DY,DY948,S,2020-01-12T15:25:00Z,D,CPH,NA,E2,D,2020-01-12T15:23:00Z,9044249,1,3,-2
Oslo lufthavn,ENGM,OSL,DY,DY1498,S,2020-01-12T15:55:00Z,D,CDG,NA,E8,D,2020-01-12T16:10:00Z,9043926,1,3,15
Oslo lufthavn,ENGM,OSL,DY,DY1108,S,2020-01-12T16:00:00Z,D,SXF,NA,E11,D,2020-01-12T16:20:00Z,9043896,1,3,20
Oslo lufthavn,ENGM,OSL,DY,DY7001,I,2020-01-12T16:45:00Z,D,JFK,NA,F18,D,2020-01-12T17:50:00Z,9044180,1,3,65
Oslo lufthavn,ENGM,OSL,DY,DY632,D,2020-01-12T17:00:00Z,D,BGO,NA,C2,D,2020-01-12T18:35:00Z,9044160,1,3,95
Oslo lufthavn,ENGM,OSL,KL,KL1150,S,2020-01-12T17:00:00Z,D,AMS,NA,E2,D,2020-01-12T16:50:00Z,9044283,1,8,-10
Oslo lufthavn,ENGM,OSL,DY,DY1042,S,2020-01-12T17:05:00Z,D,KRK,NA,D6,D,2020-01-12T16:59:00Z,9043880,1,3,-6
Oslo lufthavn,ENGM,OSL,DY,DY328,D,2020-01-12T17:45:00Z,D,ALF,TOS,A20,D,2020-01-12T18:02:00Z,9043988,1,3,17
Oslo lufthavn,ENGM,OSL,DY,DY636,D,2020-01-12T17:50:00Z,D,BGO,NA,A20,D,2020-01-12T18:43:00Z,9044168,1,3,53
